addr:housenumber,payment:cash,contact:twitter,entrance,addr:street,drink,name:he,level,layer,guest_house,coffee,name:en,reservation,payment:notes,museum,service:bicycle:pump,article,roof:shape,memorial,internet_access:fee,name:de,payment:lightning,survey:date,title,addr:city,comment,lgbtq,tollFree,brand,contact:facebook,accessibility,description,latitude,disused:shop,name:ru,brand:wikipedia,source,addr:housename,common_tags,wikipedia,image,designation,brand:wikidata,wheelchair,checkIn,source:date,directions,name,description:ru,lastEdit,wheelchair:description,addr:postcode,diet:vegan,contact:tripadvisor,official_name,last_checked,second_hand,rooms,denomination,changing_table:wheelchair,address,checkOut,note,wheelchair:description:de,disused:tourism,wikidata,email,ref:rce,heritage,surveillance,check_date:opening_hours,takeaway,start_date,historic,indoor_seating,check_date,stroller,cuisine,beauty,craft_beer,payment:credit_cards,payment:onchain,addr:country,name:zh,shop,building:architecture,wikimedia_commons,religion,wifi,alt_name,unisex,contact:website,longitude,toilets:wheelchair,diet:vegetarian,name:ko,fee,name:lb,sport,contact:instagram,name:es,brewery,landuse,highchair,ref:bag,hours,drink:club-mate,stars,contact:phone,changing_table,toilets,url,name:da,changing_table:location,internet_access,alt,building,name:uk,outdoor_seating,atm,fax,name:nl,smoking,diet:gluten_free,heritage:operator,drive_through,toilets:access,opening_hours,name:ml,currency:XBT,operator,type,payment:coins,air_conditioning,delivery,bicycle_rental,landmark,building:levels,phone,contact:email,amenity,access,int_name,old_name,price,tourism,website,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size
10,,,,Stationsplein,,,,,,,Amsterdam Nightlife Ticket,,,,,Amsterdam,,,,,,,I amsterdam Visitor Centre,Amsterdam,,,,,,,"Amsterdam's tourist office is opposite Centraal Station in the same building as Smits Koffiehuis. Besides maps, brochures and bookings, you can also buy tram and metro tickets at the GVB office. There are some touch screens with general information about visiting Amsterdam. Discover Amsterdam I amsterdam is the official guide to everything Amsterdam. Find all the resources you need for the perfect trip, look up essential information on living, studying and working in the Amsterdam Area, and learn how to start a business in our beautiful city. Our latest guides to the city More seasonal storiesWhat's happening this week 06 Jun - 29 Jun Holland Festival Muziekgebouw aan 't IJ 30 Jun Amsterdam Art Week Stedelijk Museum - Modern and Contemporary Art and Design 04 Jun - 09 Jun Frans Hals at the Rijksmuseum Rijksmuseum Free entrance 04 Jun - 14 Jul World Press Photo De Nieuwe Kerk Amsterdam Tickets Available 04 Jun - 14 Jul Marina Abramović Stedelijk Museum - Modern and Contemporary Art and Design 04 Jun - 13 Oct The Art of Drag Tickets Available 09 Jun - 18 Aug Free music at Sunday Sounds Tolhuistuin Free entrance Discover Amsterdam with the I amsterdam City Card All City Card activitiesI amsterdam on Instagram Stay up-to-date on events and happenings - Get inspiration for things to do and see - Discover hidden gems -",52.37751,,,,,,", , , , X, , X, , X, X",,,,,,,,"Koffiehuis Stationsplein, across from Central Station",Amsterdam Nightlife Ticket,,2016-06-14,,1012AB,,,,,,,,,Stationsplein 10,,,,,,,,,,,,,,,,,,,,,,,,ticket,,,,,,,,4.900364,,,,,,,,,,,,,M-Su 09:00-18:00,,,,,,http://www.iamsterdam.com/en,,,,VVV Amsterdam,,,,,,,,,,,,Mo-Su 10:00-19:00,,,,other,,,,,,,+31 6 46590417,,,,,,,,https://amsterdamnightlifeticket.com,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,I amsterdam City Card,,,,,,,,"This card allows admittance to a selection of the city's museums and attractions an ''no extra cost'', plus unlimited travel across the city's on public transport, plus a list of discounts at some other attractions. Discover Amsterdam with the I amsterdam City Card The I amsterdam City Card offers a unique way to explore Amsterdam. You get access to all major highlights and more than 70 museums, city-wide public transport, a canal cruise and bicycle rent. All activities included in the City Card Museums and attractions Get access to over 70 museums and top attractions in Amsterdam. Public transport Enjoy city-wide public transport by metro, tram, bus and ferry. Canal Cruise Discover Amsterdam from the water with a unique canal cruise. Bike rental Rent a bike for a full day and explore like the locals Order your City Card Choose the duration of your City Card The City Card in three steps Get your card Order your City Card online, or visit the I amsterdam Store at Amsterdam Central Station to buy one. Activate your card You choose when to activate your City Card. Activate the digital card in the app. The physical card is activated when you first use it. Use your card To visit City Card locations, simply show your card at the entrance. Scan your card when entering any bus, tram or metro. Highlighted City Card attractions Rijksmuseum Moco Museum A'dam Lookout ARTIS Amsterdam Royal Zoo NEMO Science Museum Stedelijk Museum - Modern and Contemporary Art and Design Canal Cruise Amsterdam - Highlights Museum Zaanse Tijd (Zaan Time Museum) Amsterdam Castle Muiderslot Eye Filmmuseum Museum Het Rembrandthuis The National Maritime Museum Hortus Botanicus Amsterdam (Botanical Garden) H'ART Museum Wereldmuseum Amsterdam Resistance Museum (Verzetsmuseum Amsterdam) Foam Photography Museum Amsterdam Teylers Museum Yellow Bike Rental Central Station",,,,,,,,,,,,,,,,,,2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.iamsterdam.com/en/i-am/i-amsterdam-city-card,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,"24h – €55, 48h – €65, 72h – €75, 96h – €85",,,,,,,,,,,,This pricing falls under the expensive category.,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Eurolines,,,,,,,,"The largest international affiliation of international bus services is Eurolines, which has a terminal at Duivendrecht railway station, which is connected by train and by metros 50 and 54. Naast het feit dat je een goede website moet hebben, moet je ook een goede opstelling van een bijvoorbeeld zakelijke e-mail hebben. Je moet aan kunnen tonen dat je ervaring hebt en moet kunnen kijken hoe iets precies verloopt. Dit houdt in dat je eigenlijk alles vanuit zakelijk oogpunt bekijkt. Dit houdt ook in dat je bijvoorbeeld geen vriendendiensten doet en dat iedereen altijd dezelfde prijs betaalt, want anders komt dit een heel stuk minder zakelijk over. Zakelijke diensten gebruiken Op het moment dat je zakelijke diensten wilt gaan gebruiken, is het ook belangrijk dat je goed oplet dat het de juiste zakelijke diensten zijn. Soms vraag je iemand bijvoorbeeld om een tekst voor je te schrijven en dan is het wel belangrijk dat het allemaal op de zakelijke manier gaat. Eigenlijk bedoelen we met de zakelijke manier eigenlijk dat je geen gevoel bij laat kijken. Het moet allemaal uit een commercieel oogpunt komen. Op die manier kun je veel meer waarmaken. Daarnaast is het de bedoeling dat je goed kijkt wat voor dienst iemand levert en of er misschien al reviews ergens staan. Als ze ergens review staan, is het belangrijk om goed te kijken wat voor een reviews dit zijn en hoe iemand te werk gaat. Als dit allemaal positief is, dan is het verder geen enkel probleem om mee samen te werken, maar soms is iets negatief en dan moet je even uitzoeken of dit aan de klant lag of aan de verkoper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.eurolines.nl,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Megabus,,,,,,,,"British low-budget bus company Megabus operates a bus service twice-daily from London and Paris to Amsterdam via Brussels, terminating at the PR Transferium Zeeburg in the east of the city. Tram 26 connects it with Amsterdam Centraal. Cookie Policy Scottish Citylink Coaches Limited would like to advise you that we use cookies on this website to ensure that we give you the best user experience. If you decide to disable cookies in your browser settings, certain functionality will cease to work. If you click continue below we will assume that you are happy to accept the Scottish Citylink Coaches Limited cookie policy. Read the Scottish Citylink Coaches Limited cookie policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://uk.megabus.com,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,,,Nothing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Flixbus,,,,,,,,"German low-cost bus company offering connections to many German cities such as Berlin, Cologne and Munich. Departing from Sloterdijk station. Reachable by Bus 22, trains and metro line 50. Get Cheap Bus Tickets with FlixBus! If you're looking to travel around The United States or even worldwide, FlixBus has got you covered with our extensive bus routes! With over 400,000 routes across the globe, you can easily find the perfect option for your trip. Plus, our cheap bus tickets make it easy and affordable to get wherever you want to go, whether it's for work or play. Bus Routes and Timetables to Suit Your schedule Traveling with FlixBus is hassle-free with our modern and comfortable buses, frequent connections, and reliable schedules. Our extensive network spans almost 2,300 destinations in 40+ countries, including major cities in the United States, Canada, and Mexico. Plus, enjoy free WiFi on most of our buses and track your journey in real-time using our bus tracking system. What's more, our integration with Greyhound provides even more coverage and travel options throughout North America, making FlixBus the ideal choice for domestic and international travel. Buying Your Bus Tickets is Easy with FlixBus Our website and app make it easy to plan your journey, find the cheapest bus fares, and purchase your bus tickets securely. Whether you're planning or booking a last-minute trip, FlixBus makes buying bus tickets a breeze. Plus, with our convenient e-ticket system, you can board your bus without the hassle of paper tickets as your phone will serve as your ticket! Discover the Best Destinations FlixBus has to Offer With FlixBus' extensive network of routes, you can easily explore some of the most popular cities in the US, as well as travel to Canada and Mexico. And thanks to our integration with Greyhound, our network is even more expansive, giving you even more options for intercity travel. Whether you're exploring New York City, spending a weekend partying in Las Vegas, soaking up the culture in Boston, or discovering the hidden gems of Los Angeles, FlixBus makes it effortless to experience all that the US has to offer. Travelling with FlixBus is a more sustainable choice Traveling by bus is not just a convenient choice but also an environmentally responsible one, as bus travel reduces traffic and emissions compared to travelling by car. We are working to make bus travel even greener with high environmental standards across our fleet of buses, the use of alternative drive and fuel technologies, and the option for all passengers to offset their carbon when buying their bus tickets. So, when you travel with FlixBus you can know you are making a responsible choice Travel in Comfort and Style with FlixBus FlixBus not only prioritizes comfort and convenience for your journey, but also ensures that you can travel with all your necessary luggage. Each passenger is allowed to bring one carry-on and one stowed luggage with them on the bus. In addition to the luggage allowances, our buses offer amenities like on-board WiFi, extra legroom, power outlets, and toilets, making your trip as smooth and enjoyable as possible. With our user-friendly app and simple booking platform, planning your bus travel has never been easier. Book your bus ticket with FlixBus today and travel in comfort and style with all your luggage in tow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.flixbus.com/,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,OUIBUS,,,,,,,,"The bus-operating arm of the French railway company ''SNCF'', which runs a coach service between Paris and Lille to Amsterdam. It stops at the Stadionplein. Tram 16 and 24 connect it with Amsterdam Centraal and metro station Amstelveenseweg.",,,,,,,,,,,,,,,,,,2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://fr.ouibus.com/fr,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,GVB cards,,,,,,,,Multi-day cards are valid for an exact amount of hours available in the respective period of days.,,,,,,,,,,,,,,,,,,2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,"1 hour € 2.90, 1 day (24h) € 7.50, child 1 day €2.50, 2 days €12.50, 3 days €17.00, 4 days €21.50, 5 days €26.50, 6 days €30.00, 7 days €33.00",,,,,,,,,,,,"Based on the given prices for activities in this place:
- 1 hour: Cheap (€2.90)
- 1 day (24h): Cheap (€7.50)
- Child 1 day: Cheap (€2.50)
- 2 days: Medium (€12.50)
- 3 days: Medium (€17.00)
- 4 days: Medium (€21.50)
- 5 days: Medium (€26.50)
- 6 days: Expensive (€30.00)
- 7 days: Expensive (€33.00)",,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Amsterdam Travel Ticket,,,,,,,,"It includes a return ticket to and from Schiphol for a train (to any of Amsterdam's stations) and bus 197, plus unlimited travel on all GVB trams, metro and (night)buses for 1, 2 or 3 days. These tickets are based on calendar days, and expire at 0400 in the morning after the last valid day. Amsterdam Travel Ticket Unlimited travel across Amsterdam for either 1, 2 or 3 days. From€ 18 iDeal and creditcard: Secure payment Benefits Unlimited travel across Amsterdam with just one ticket - Access to train, bus 397 and Niteliner makes for carefree travel between Schiphol Airport and Amsterdam - Valid on all buses, trams, metros and ferries run bij GVB - Cheaper than separate tickets - Useful information 1-day (€ 18), 2-day (€ 24) and 3-day (€ 30) tickets are available - Included is a handy map showing places of interest in and around Amsterdam - active tab Can I buy the Amsterdam Travel Ticket with my credit card? Yes, you can buy your Amsterdam Travel Ticket at different locations in and around Amsterdam and pay with your credit card. If you order your Amsterdam Travel Ticket at discoverholland.com, you can pay with your creditcard, Paypal, Giropay or Sofort. Is it possible to use the Amsterdam Travel Ticket from Schiphol Amsterdam Airport to Amsterdam city centre? Yes, the ticket is also valid for the journey from Schiphol Amsterdam Airport to Amsterdam city centre.",,,,,,,,,,,,,,,,,,2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ns.nl/producten/en/overige-kaartjes/p/amsterdam-travel-ticket,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,"€15 (1 day), €20 (2 days) and €25 (3 days)",,,,,,,,,,,,"Based on the price ranges provided:

€15 (1 day) - Medium
€20 (2 days) - Medium
€25 (3 days) - Expensive",,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Amsterdam & Region Travel Ticket,,,,,,,,"A 24h hour pass which allows unlimited travel in a whole [http://www.iamsterdam.com/en/visiting/areas/city-escapes ''greater Amsterdam area'']. Among the other locations it includes Zandvoort, Edam, Aalsmeer, Keukenhof gardens, Volendam and Zaanse Schans. These tickets  are available at I amsterdam Visitor Centre, at service centres of GVB, EBS, Connexxion and some other locations like hotels, campsites etc. Amsterdam & Region Travel Ticket A simple and convenient way to explore the Amsterdam Area is with the Amsterdam & Region Travel Ticket. This convenient multi-purpose ticket offers unlimited public transport by bus, tram, train and metro. You can purchase your ticket online or at the I amsterdam Store and selected transport ticket counters. Public transport pass for Amsterdam and the Amsterdam Area The Amsterdam & Region Travel Ticket allows you to explore all that Amsterdam has to offer, along with the iconic sights and scenery of the surrounding area. Tickets are available for one, two or three consecutive days, so that you can use it for a day trip, weekend break or three-day excursion. A map filled with sightseeing tips is included with your ticket to inspire you. Where to buy the Amsterdam & Region Travel Ticket The card is available for purchase online or at the I amsterdam Store at Amsterdam Central Station, selected hotels and campsites and ticket counters of the participating public transport companies, including: GVB Tickets & Info: Amsterdam Central Station (Stationsplein), Bijlmer ArenA Station, Noord Station & Zuid Station - EBS Tickets & Info: Amsterdam Central Station (IJ River side), Purmerend Tramplein, Edam bus station - Connexxion Tickets & Info: Amsterdam Airport Schiphol (Schiphol Plaza) - Ticket prices 1 day - €21,- - 2 days - €31,50 - 3 days - €40,50 - How to use the Amsterdam & Region Travel Ticket Tickets are valid for 1, 2 or 3 calendar days. A day in this context begins at 00:00 and ends the next day at 04:00. - You must check in and out with your card whenever you enter and exit a bus, tram, train or metro. Your ticket is activated from the first check-in. - Tickets are valid on all metro, tram and bus lines operated by GVB, Connexxion, AllGo and EBS, including night buses. - While the flowers bloom between March and May, you can use the ticket to travel from Amsterdam Airport Schiphol to Keukenhof Gardens (Arriva bus 858). - Tickets are also valid on NS trains in the Amsterdam Area. - If you have questions or your ticket appears defective, visit any of the sales locations listed above for assistance. -",,,,,,,,,,,,,,,,,,2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.iamsterdam.com/en/visiting/plan-your-trip/getting-around/public-transport/region-day-ticket,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,€13.50,,,,,,,,,,,,Medium,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Black Bikes,,,,,,,,"Rent traditional black bikes. There are no bright red, yellow, blue or orange bikes in their shops. There are three locations throughout the city center and the shops have long opening hours, 7 days a week. Also rents out cargobikes for kids. Rent a bike with discount . Hand brake bike rental €12,99 10% off €11,69 / 3 hours * Book now More details Amsterdam / Utrecht / Haarlem / The Hague Electric bike rental €22,99 10% off €20,69 / 3 hours * Book now More details Amsterdam / Utrecht / Haarlem Tandem bike rental Kids tandem bike rental Cargo bike rental Small bike rental (24 inch wheels) €12,99 10% off €11,69 / 3 hours * Book now More details Amsterdam / Utrecht / Haarlem / The Hague *Prices are without insurance",,,,,,,,,,,,,,,"tram 1, 2, 5, 13 or 17 to Dam",,,,,,,,,,,,,,Nieuwezijds Voorburgwal 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M-F 08:00-20:00, Sa Su 09:00-19:00",,,,,,http://www.black-bikes.com,,,,Het Zwarte Fietsenplan,,,,,,,,,,,,,,,,other,,,,,,,+31 20 670-8531,,,,,,"€9 (3 hr), €13 (24 hr)",,,,,,,,,,,,"Based on the prices you provided:

€9 for 3 hours - Cheap
€13 for 24 hours - Medium",,,,,,,,,
