addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,amenity.1,brand.1,check_date,cuisine.1,name.1,opening_hours.1,shop.1,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
,,,,,i amsterdam visitor centre,,,amsterdam tourist office be opposite centraal station in the same building a smits koffiehuis besides map brochure and booking you can also buy tram and metro ticket at the gvb office there be some touch screen with general information about visit amsterdam,52.37751,,,,,,,,,,stationsplein 10,,,,,,,,,4.900364,,msu 09001800,,,,httpwwwiamsterdamcomen,,vvv amsterdam,,,other,31 20 7026000,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,i amsterdam city card,,,this card allows admittance to a selection of the city museum and attraction an no extra cost plus unlimited travel across the city on public transport plus a list of discount at some other attraction,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwiamsterdamcomeniamiamsterdamcitycard,,,,,other,,,,24h – €55 48h – €65 72h – €75 96h – €85,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,eurolines,,,the large international affiliation of international bus service be eurolines which have a terminal at duivendrecht railway station which be connect by train and by metro 50 and 54,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwweurolinesnl,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,flixbus,,,german lowcost bus company offering connection to many german city such a berlin cologne and munich depart from sloterdijk station reachable by bus 22 train and metro line 50,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwflixbuscom,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,ouibus,,,the busoperating arm of the french railway company sncf which run a coach service between paris and lille to amsterdam it stop at the stadionplein tram 16 and 24 connect it with amsterdam centraal and metro station amstelveenseweg,,,,,,,,,,,,,,,,,,,,,,,,,,httpfrouibuscomfr,,,,,other,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,gvb card,,,multiday card be valid for an exact amount of hour available in the respective period of day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,1 hour € 290 1 day 24h € 750 child 1 day €250 2 day €1250 3 day €1700 4 day €2150 5 day €2650 6 day €3000 7 day €3300,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam travel ticket,,,it include a return ticket to and from schiphol for a train to any of amsterdam station and bus 197 plus unlimited travel on all gvb tram metro and nightbuses for 1 2 or 3 day these ticket be base on calendar day and expire at 0400 in the morning after the last valid day,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwnsnlproductenenoverigekaartjespamsterdamtravelticket,,,,,other,,,,€15 1 day €20 2 day and €25 3 day,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,amsterdam region travel ticket,,,a 24h hour pas which allows unlimited travel in a whole httpwwwiamsterdamcomenvisitingareascityescapes great amsterdam area among the other location it include zandvoort edam aalsmeer keukenhof garden volendam and zaanse schans these ticket be available at i amsterdam visitor centre at service centre of gvb eb connexxion and some other location like hotel campsite etc,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwiamsterdamcomenvisitingplanyourtripgettingaroundpublictransportregiondayticket,,,,,other,,,,€1350,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,black bike,,,rent traditional black bike there be no bright red yellow blue or orange bike in their shop there be three location throughout the city center and the shop have long opening hour 7 day a week also rent out cargobikes for kid,,,,,,,,,,,nieuwezijds voorburgwal 146,,,,,,,,,,,mf 08002000 sa su 09001900,,,,httpwwwblackbikescom,,het zwarte fietsenplan,,,other,31 20 6708531,,,€9 3 hr €13 24 hr,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,frederic,,,bike insurance bag lock and child seat all include in the ask price close to centraal station bike be offer incognito for the discern guest who do not want to appear touristy,,,,,,,,,,,brouwersgracht 78,,,,,,,,,,,,,,,httpwwwfredericnlen,,,,,other,31 20 6245509,,,€8 3 hr €10 day till 1730 €15 24 hr €25 2 day €35 3 day,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
