addr:housenumber,payment:cash,contact:twitter,entrance,addr:street,drink,name:he,level,layer,guest_house,coffee,name:en,reservation,payment:notes,museum,service:bicycle:pump,article,roof:shape,memorial,internet_access:fee,name:de,payment:lightning,survey:date,title,addr:city,comment,lgbtq,tollFree,brand,contact:facebook,accessibility,description,latitude,disused:shop,name:ru,brand:wikipedia,source,addr:housename,common_tags,wikipedia,image,designation,brand:wikidata,wheelchair,checkIn,source:date,directions,name,description:ru,lastEdit,wheelchair:description,addr:postcode,contact:tripadvisor,official_name,last_checked,second_hand,rooms,denomination,changing_table:wheelchair,address,checkOut,note,wheelchair:description:de,disused:tourism,wikidata,email,ref:rce,heritage,surveillance,check_date:opening_hours,takeaway,start_date,historic,check_date,stroller,cuisine,beauty,craft_beer,payment:credit_cards,payment:onchain,addr:country,name:zh,shop,building:architecture,wikimedia_commons,religion,wifi,alt_name,unisex,contact:website,longitude,toilets:wheelchair,name:ko,name:lb,sport,contact:instagram,name:es,brewery,landuse,highchair,ref:bag,hours,drink:club-mate,stars,contact:phone,changing_table,toilets,url,name:da,changing_table:location,internet_access,alt,name:uk,atm,fax,name:nl,smoking,heritage:operator,drive_through,toilets:access,opening_hours,name:ml,currency:XBT,operator,type,payment:coins,air_conditioning,delivery,bicycle_rental,landmark,building:levels,phone,contact:email,amenity,access,int_name,old_name,price,website,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning.1,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
10,,,,stationsplein,,,,,,,amsterdam nightlife ticket,,,,,amsterdam,,,,,,,i amsterdam visitor centre,amsterdam,,,,,,,amsterdam tourist office be opposite centraal station in the same building a smits koffiehuis besides map brochure and booking you can also buy tram and metro ticket at the gvb office there be some touch screen with general information about visit amsterdam,52.37751,,,,,,x x x x,,,,,,,,koffiehuis stationsplein across from central station,amsterdam nightlife ticket,,20160614,,1012ab,,,,,,,,stationsplein 10,,,,,,,,,,,,,,,,,,,,,,,ticket,,,,,,,,4.900364,,,,,,,,,,,msu 09001800,,,,,,httpwwwiamsterdamcomen,,,,vvv amsterdam,,,,,,,,,mosu 10001900,,,,other,,,,,,,31 6 46590417,,,,,,,httpsamsterdamnightlifeticketcom,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,i amsterdam city card,,,,,,,,this card allows admittance to a selection of the city museum and attraction an no extra cost plus unlimited travel across the city on public transport plus a list of discount at some other attraction,,,,,,,,,,,,,,,,,,20160616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwiamsterdamcomeniamiamsterdamcitycard,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,24h – €55 48h – €65 72h – €75 96h – €85,,,no,,,,,,,expensive,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,eurolines,,,,,,,,the large international affiliation of international bus service be eurolines which have a terminal at duivendrecht railway station which be connect by train and by metro 50 and 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwweurolinesnl,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,flixbus,,,,,,,,german lowcost bus company offering connection to many german city such a berlin cologne and munich depart from sloterdijk station reachable by bus 22 train and metro line 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwflixbuscom,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,ouibus,,,,,,,,the busoperating arm of the french railway company sncf which run a coach service between paris and lille to amsterdam it stop at the stadionplein tram 16 and 24 connect it with amsterdam centraal and metro station amstelveenseweg,,,,,,,,,,,,,,,,,,20160929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpfrouibuscomfr,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,gvb card,,,,,,,,multiday card be valid for an exact amount of hour available in the respective period of day,,,,,,,,,,,,,,,,,,20160614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,1 hour € 290 1 day 24h € 750 child 1 day €250 2 day €1250 3 day €1700 4 day €2150 5 day €2650 6 day €3000 7 day €3300,,,no,,,,,,,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,amsterdam travel ticket,,,,,,,,it include a return ticket to and from schiphol for a train to any of amsterdam station and bus 197 plus unlimited travel on all gvb tram metro and nightbuses for 1 2 or 3 day these ticket be base on calendar day and expire at 0400 in the morning after the last valid day,,,,,,,,,,,,,,,,,,20160614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwnsnlproductenenoverigekaartjespamsterdamtravelticket,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,€15 1 day €20 2 day and €25 3 day,,,no,,,,,,,medium,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,amsterdam region travel ticket,,,,,,,,a 24h hour pas which allows unlimited travel in a whole httpwwwiamsterdamcomenvisitingareascityescapes great amsterdam area among the other location it include zandvoort edam aalsmeer keukenhof garden volendam and zaanse schans these ticket be available at i amsterdam visitor centre at service centre of gvb eb connexxion and some other location like hotel campsite etc,,,,,,,,,,,,,,,,,,20160616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwiamsterdamcomenvisitingplanyourtripgettingaroundpublictransportregiondayticket,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,€1350,,,no,,,,,,,medium,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,black bike,,,,,,,,rent traditional black bike there be no bright red yellow blue or orange bike in their shop there be three location throughout the city center and the shop have long opening hour 7 day a week also rent out cargobikes for kid,,,,,,,,,,,,,,,tram 1 2 5 13 or 17 to dam,,,,,,,,,,,,,nieuwezijds voorburgwal 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mf 08002000 sa su 09001900,,,,,,httpwwwblackbikescom,,,,het zwarte fietsenplan,,,,,,,,,,,,,other,,,,,,,31 20 6708531,,,,,,€9 3 hr €13 24 hr,,,no,,,,,,,cheap,,,,,,,,,,,
,,,,,,,,,,,,,,,,amsterdam,,,,,,,frederic,,,,,,,,bike insurance bag lock and child seat all include in the ask price close to centraal station bike be offer incognito for the discern guest who do not want to appear touristy,,,,,,,,,,,,,,,,,,,,,,,,,,,,brouwersgracht 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwfredericnlen,,,,,,,,,,,,,,,,,other,,,,,,,31 20 6245509,,,,,,€8 3 hr €10 day till 1730 €15 24 hr €25 2 day €35 3 day,,,no,,,,,,,cheap,,,,,,,,,,,
