addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
10,Stationsplein,Amsterdam Nightlife Ticket,,,I amsterdam Visitor Centre,,,Amsterdams tourist office is opposite Centraal Station in the same building as Smits Koffiehuis Besides maps brochures and bookings you can also buy tram and metro tickets at the GVB office There are some touch screens with general information about visiting Amsterdam,52.37751,,X  X  X X,,,,,Amsterdam Nightlife Ticket,,1012AB,Stationsplein 10,,,,,,ticket,,,4.900364,,MSu 09001800,,,,httpwwwiamsterdamcomen,,VVV Amsterdam,,MoSu 10001900,other,31 6 46590417,,,,httpsamsterdamnightlifeticketcom,,,,,,,,,,,,,,,,,,,,,
,,,,,I amsterdam City Card,,,This card allows admittance to a selection of the citys museums and attractions an no extra cost plus unlimited travel across the citys on public transport plus a list of discounts at some other attractions,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwiamsterdamcomeniamiamsterdamcitycard,,,,,other,,,,24h – €55 48h – €65 72h – €75 96h – €85,,,,,,,,,,,,,,,,,,,,,,
,,,,,Eurolines,,,The largest international affiliation of international bus services is Eurolines which has a terminal at Duivendrecht railway station which is connected by train and by metros 50 and 54,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwweurolinesnl,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Megabus,,,British lowbudget bus company Megabus operates a bus service twicedaily from London and Paris to Amsterdam via Brussels terminating at the PR Transferium Zeeburg in the east of the city Tram 26 connects it with Amsterdam Centraal,,,,,,,,,,,,,,,,,,,,,,,,,,httpukmegabuscom,,,,,do,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flixbus,,,German lowcost bus company offering connections to many German cities such as Berlin Cologne and Munich Departing from Sloterdijk station Reachable by Bus 22 trains and metro line 50,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwflixbuscom,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OUIBUS,,,The busoperating arm of the French railway company SNCF which runs a coach service between Paris and Lille to Amsterdam It stops at the Stadionplein Tram 16 and 24 connect it with Amsterdam Centraal and metro station Amstelveenseweg,,,,,,,,,,,,,,,,,,,,,,,,,,httpfrouibuscomfr,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GVB cards,,,Multiday cards are valid for an exact amount of hours available in the respective period of days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,1 hour € 290 1 day 24h € 750 child 1 day €250 2 days €1250 3 days €1700 4 days €2150 5 days €2650 6 days €3000 7 days €3300,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Travel Ticket,,,It includes a return ticket to and from Schiphol for a train to any of Amsterdams stations and bus 197 plus unlimited travel on all GVB trams metro and nightbuses for 1 2 or 3 days These tickets are based on calendar days and expire at 0400 in the morning after the last valid day,,,,,,,,,,,,,,,,,,,,,,,,,,httpswwwnsnlproductenenoverigekaartjespamsterdamtravelticket,,,,,other,,,,€15 1 day €20 2 days and €25 3 days,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam  Region Travel Ticket,,,A 24h hour pass which allows unlimited travel in a whole httpwwwiamsterdamcomenvisitingareascityescapes greater Amsterdam area Among the other locations it includes Zandvoort Edam Aalsmeer Keukenhof gardens Volendam and Zaanse Schans These tickets  are available at I amsterdam Visitor Centre at service centres of GVB EBS Connexxion and some other locations like hotels campsites etc,,,,,,,,,,,,,,,,,,,,,,,,,,httpwwwiamsterdamcomenvisitingplanyourtripgettingaroundpublictransportregiondayticket,,,,,other,,,,€1350,,,,,,,,,,,,,,,,,,,,,,
,,,,,Black Bikes,,,Rent traditional black bikes There are no bright red yellow blue or orange bikes in their shops There are three locations throughout the city center and the shops have long opening hours 7 days a week Also rents out cargobikes for kids,,,,,,,,,,,Nieuwezijds Voorburgwal 146,,,,,,,,,,,MF 08002000 Sa Su 09001900,,,,httpwwwblackbikescom,,Het Zwarte Fietsenplan,,,other,31 20 6708531,,,€9 3 hr €13 24 hr,,,,,,,,,,,,,,,,,,,,,,
