addr:housenumber,payment:cash,contact:twitter,entrance,addr:street,drink,name:he,level,layer,guest_house,coffee,name:en,reservation,payment:notes,museum,service:bicycle:pump,article,roof:shape,memorial,internet_access:fee,name:de,payment:lightning,survey:date,title,addr:city,comment,lgbtq,tollFree,brand,contact:facebook,accessibility,description,latitude,disused:shop,name:ru,brand:wikipedia,source,addr:housename,common_tags,wikipedia,image,designation,brand:wikidata,wheelchair,checkIn,source:date,directions,name,description:ru,lastEdit,wheelchair:description,addr:postcode,diet:vegan,contact:tripadvisor,official_name,last_checked,second_hand,rooms,denomination,changing_table:wheelchair,address,checkOut,note,wheelchair:description:de,disused:tourism,wikidata,email,ref:rce,heritage,surveillance,check_date:opening_hours,takeaway,start_date,historic,indoor_seating,check_date,stroller,cuisine,beauty,craft_beer,payment:credit_cards,payment:onchain,addr:country,name:zh,shop,building:architecture,wikimedia_commons,religion,wifi,alt_name,unisex,contact:website,longitude,toilets:wheelchair,diet:vegetarian,name:ko,fee,name:lb,sport,contact:instagram,name:es,brewery,landuse,highchair,ref:bag,hours,drink:club-mate,stars,contact:phone,changing_table,toilets,url,name:da,changing_table:location,internet_access,alt,building,name:uk,outdoor_seating,atm,fax,name:nl,smoking,diet:gluten_free,heritage:operator,drive_through,toilets:access,opening_hours,name:ml,currency:XBT,operator,type,payment:coins,air_conditioning,delivery,bicycle_rental,landmark,building:levels,phone,contact:email,amenity,access,int_name,old_name,price,tourism,website,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type
10,,,,Stationsplein,,,,,,,Amsterdam Nightlife Ticket,,,,,Amsterdam,,,,,,,I amsterdam Visitor Centre,Amsterdam,,,,,,,"Amsterdam's tourist office is opposite Centraal Station in the same building as Smits Koffiehuis. Besides maps, brochures and bookings, you can also buy tram and metro tickets at the GVB office. There are some touch screens with general information about visiting Amsterdam.",52.37751,,,,,,", , , , X, , X, , X, X",,,,,,,,"Koffiehuis Stationsplein, across from Central Station",Amsterdam Nightlife Ticket,,2016-06-14,,1012AB,,,,,,,,,Stationsplein 10,,,,,,,,,,,,,,,,,,,,,,,,ticket,,,,,,,,4.900364,,,,,,,,,,,,,M-Su 09:00-18:00,,,,,,http://www.iamsterdam.com/en,,,,VVV Amsterdam,,,,,,,,,,,,Mo-Su 10:00-19:00,,,,other,,,,,,,+31 6 46590417,,,,,,,,https://amsterdamnightlifeticket.com,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,I amsterdam City Card,,,,,,,,"This card allows admittance to a selection of the city's museums and attractions an ''no extra cost'', plus unlimited travel across the city's on public transport, plus a list of discounts at some other attractions.",,,,,,,,,,,,,,,,,,2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.iamsterdam.com/en/i-am/i-amsterdam-city-card,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,"24h – €55, 48h – €65, 72h – €75, 96h – €85",,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Eurolines,,,,,,,,"The largest international affiliation of international bus services is Eurolines, which has a terminal at Duivendrecht railway station, which is connected by train and by metros 50 and 54.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.eurolines.nl,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Megabus,,,,,,,,"British low-budget bus company Megabus operates a bus service twice-daily from London and Paris to Amsterdam via Brussels, terminating at the PR Transferium Zeeburg in the east of the city. Tram 26 connects it with Amsterdam Centraal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://uk.megabus.com,,,,,,,,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,,,Travel/Walking,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Flixbus,,,,,,,,"German low-cost bus company offering connections to many German cities such as Berlin, Cologne and Munich. Departing from Sloterdijk station. Reachable by Bus 22, trains and metro line 50.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.flixbus.com/,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,OUIBUS,,,,,,,,"The bus-operating arm of the French railway company ''SNCF'', which runs a coach service between Paris and Lille to Amsterdam. It stops at the Stadionplein. Tram 16 and 24 connect it with Amsterdam Centraal and metro station Amstelveenseweg.",,,,,,,,,,,,,,,,,,2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://fr.ouibus.com/fr,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,GVB cards,,,,,,,,Multi-day cards are valid for an exact amount of hours available in the respective period of days.,,,,,,,,,,,,,,,,,,2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,"1 hour € 2.90, 1 day (24h) € 7.50, child 1 day €2.50, 2 days €12.50, 3 days €17.00, 4 days €21.50, 5 days €26.50, 6 days €30.00, 7 days €33.00",,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Amsterdam Travel Ticket,,,,,,,,"It includes a return ticket to and from Schiphol for a train (to any of Amsterdam's stations) and bus 197, plus unlimited travel on all GVB trams, metro and (night)buses for 1, 2 or 3 days. These tickets are based on calendar days, and expire at 0400 in the morning after the last valid day.",,,,,,,,,,,,,,,,,,2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ns.nl/producten/en/overige-kaartjes/p/amsterdam-travel-ticket,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,"€15 (1 day), €20 (2 days) and €25 (3 days)",,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Amsterdam & Region Travel Ticket,,,,,,,,"A 24h hour pass which allows unlimited travel in a whole [http://www.iamsterdam.com/en/visiting/areas/city-escapes ''greater Amsterdam area'']. Among the other locations it includes Zandvoort, Edam, Aalsmeer, Keukenhof gardens, Volendam and Zaanse Schans. These tickets  are available at I amsterdam Visitor Centre, at service centres of GVB, EBS, Connexxion and some other locations like hotels, campsites etc.",,,,,,,,,,,,,,,,,,2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.iamsterdam.com/en/visiting/plan-your-trip/getting-around/public-transport/region-day-ticket,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,€13.50,,,,,,,,,,
,,,,,,,,,,,,,,,,Amsterdam,,,,,,,Black Bikes,,,,,,,,"Rent traditional black bikes. There are no bright red, yellow, blue or orange bikes in their shops. There are three locations throughout the city center and the shops have long opening hours, 7 days a week. Also rents out cargobikes for kids.",,,,,,,,,,,,,,,"tram 1, 2, 5, 13 or 17 to Dam",,,,,,,,,,,,,,Nieuwezijds Voorburgwal 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M-F 08:00-20:00, Sa Su 09:00-19:00",,,,,,http://www.black-bikes.com,,,,Het Zwarte Fietsenplan,,,,,,,,,,,,,,,,other,,,,,,,+31 20 670-8531,,,,,,"€9 (3 hr), €13 (24 hr)",,,,,,,,,,
