key,values
description,"coöperatieve supermarkt: 4, former cafetaria for employees of Shell corporation: 4, shops & marketplace: 4, summer_restaurant_kitchen: 4, Hoogvliet Hilversum: 3, Schiphol Plaza,Luchthaven Schiphol: 3, Coffeeshop: 3, Hoogvliet Aalsmeer: 2, Cruisy gay bar with darkroom and smoking area: 2, Maoz Vegan: 2"
email,"info@hetschip.nl: 2, info@espressofabriek.nl: 2, info.edenhotel@edenhotels.nl: 2, g.italiaander@gmail.com: 2, spaarndammerstraat@bagelsbeans.nl: 2, info@delokatie.org: 2, post@sweetshotel.amsterdam: 2, info@osec.nl: 2, info@autorobben.nl: 2, info@cheesemuseumamsterdam.com: 2"
name,"Albert Heijn: 174, Kruidvat: 108, Etos: 87, Gall & Gall: 83, Primera: 60, Blokker: 54, HEMA: 53, Vomar: 50, Action: 40, Lidl: 39"
opening_hours,"24/7: 59, Mo-Fr 09:00-18:00; Sa 09:00-17:00: 42, Mo-Su 08:00-22:00: 31, Mo-Su 10:00-18:00: 23, Tu-Fr 09:00-18:00; Sa 09:00-17:00: 21, Mo-Su 10:00-22:00: 21, Mo-Sa 08:00-22:00; Su 10:00-20:00: 20, Mo-Sa 08:00-22:00; Su 09:00-22:00: 19, Mo-Su 12:00-22:00: 18, Tu-Fr 10:00-18:00; Sa 10:00-17:00: 17"
website,"https://stach-food.nl/: 22, https://www.cigo.nl/: 17, https://www.vomar.nl/: 14, https://www.brilservice.nl: 12, https://debeteredrogist.nl/winkels/: 12, https://www.only.com/nl/nl/home: 11, https://www.bagelsbeans.nl/: 11, https://www.vanharen.nl/NL/nl/shop/welcome.html: 10, https://nl.ecco.com/: 10, https://www.bakkervanmaanen.nl: 10"
wheelchair,"yes: 2234, limited: 983, no: 881"
amenity,"restaurant: 2888, cafe: 1047, bar: 287, fast_food: 146, pub: 129, bicycle_rental: 20, fuel: 18, coffeeshop: 9, post_office: 9, cinema: 7"
brand,"Albert Heijn: 177, Kruidvat: 109, Etos: 87, Gall & Gall: 84, Primera: 64, HEMA: 54, Blokker: 54, Vomar: 50, Jumbo: 43, Action: 40"
shop,"clothes: 1389, hairdresser: 741, supermarket: 632, bakery: 410, bicycle: 374, convenience: 312, florist: 283, chemist: 283, beauty: 267, gift: 227"
cuisine,"italian: 198, coffee_shop: 183, chinese: 108, regional: 95, international: 74, french: 73, japanese: 71, indian: 71, asian: 68, thai: 67"
atm,"yes: 19, no: 3, removed: 1"
outdoor_seating,"yes: 509, no: 131, only: 16, terrace: 12, pedestrian_zone: 11, sidewalk: 6, patio: 1"
takeaway,"yes: 368, no: 41, only: 25"
internet_access,"wlan: 431, yes: 64, no: 20"
alt_name,"AH to go: 11, Dunkin' Donuts: 10, Burger Bar: 6, Hampton Inn: 4, Spiegelgracht: 2, Iris en Iris: 2, Levend Paardenmuseum: 2, Groot Laboratorium: 2, Brugrestaurant A4: 2, Cafetaria de Sprinter: 2"
branch,"Haarlem: 16, Amsterdam: 14, Hilversum: 10, Amstelveen: 6, Purmerend: 6, Fine Eastern Restaurants Nederland: 6, Zaandam: 5, Amsterdam Noord: 5, Hillegom: 4, Heemstede: 4"
image,"https://slijkhuis.nl/wp-content/uploads/2020/11/IMG_4882-scaled.jpg;https://www.togethervastgoed.nl/wp-content/uploads/2020/11/68.jpg: 2, https://digital.ihg.com/is/image/ihg/crowne-plaza-amsterdam-7059082341-1x1: 2, https://huisvesting.buko.nl/wp-content/uploads/2017/09/SunSea-bar-buiten.jpg: 2, https://i.pinimg.com/originals/f3/84/83/f3848377f01f2dd9b7725172b062282d.jpg: 2, https://photos.app.goo.gl/trRFSHd1bXzs6hYM8: 2, https://primary.jwwb.nl/public/n/b/d/temp-wgbbatnrcdwhuxkaztqa/9oo1hh/winkel2mei2021-2.jpg, https://primary.jwwb.nl/public/n/b/d/temp-wgbbatnrcdwhuxkaztqa/gsrj5o/contactgegevens-3.jpg: 2, https://image-proxy.taivas.cloud/www.akerpoort.nl/wp-content/uploads/2015/02/Foto-ShiftN-website-580x200.png.webp?doOptimise=1: 2, https://images.mapillary.com/mBy7WBRnkk5nanLhGe6aA3/thumb-2048.jpg: 2, https://images.mapillary.com/eVJV2l8yPldM2WuKzkcqXB/thumb-2048.jpg: 2, https://images.mapillary.com/v9sttELSgt9Gnd6MVrf6xw/thumb-2048.jpg: 2"
smoking,"no: 149, outside: 100, isolated: 7, separated: 7, dedicated: 3, yes: 1"
check_date,"2024-02-20: 41, 2023-04-11: 30, 2023-06-21: 28, 2023-04-25: 27, 2023-04-10: 25, 2023-06-27: 24, 2024-02-16: 20, 2024-02-03: 20, 2023-05-12: 17, 2023-04-17: 16"
