column,values
article,"Amsterdam/Binnenstad: 104, Amsterdam/Canal District: 66, Amsterdam: 62, Amsterdam/Zuid: 49, Amsterdam/Oost: 42, Amsterdam/Jordaan: 27, Amsterdam/West: 20, Amsterdam/Zuidoost: 17, Amsterdam/Plantage: 14, Amsterdam/Noord: 7"
type,"sleep: 88, drink: 81, see: 64, do: 61, eat: 55, other: 31, buy: 28"
title,"Amsterdam Jewel Cruises: 2, Museumplein: 2, Maloe Melo: 2, Bulldog: 2, Hotel Nicolaas Witsen: 2, Barney's: 2, I amsterdam Visitor Centre: 1, I amsterdam City Card: 1, Eurolines: 1, Megabus: 1"
alt,": 385, VVV Amsterdam: 1, Het Zwarte Fietsenplan: 1, Opentuinendagen: 1, Engelse Hervormde Kerk: 1, Anne Frankhuis: 1, The Museum of the Canals: 1, Kattenkabinet: 1, Pijpenkabinet: 1, De Negen Straatjes: 1"
wikidata,: 408
wikipedia,: 408
address,": 83, Leidseplein 12: 2, Singel 235: 2, Lijnbaansgracht 163: 2, Marnixstraat 372: 2, Dam: 2, Paulus Potterstraat 2-8: 2, Stationsplein 10: 1, Nieuwezijds Voorburgwal 146: 1, Brouwersgracht 78: 1"
directions,": 200, tram 4, 9, 16 or 24 to Dam: 19, tram 1, 2 or 5 to Spui: 10, tram or metro Centraal Station: 8, tram 26 to IJburg: 7, tram 1, 2, 5, 13 or 17 to Nieuwezijds Kolk: 7, tram or metro to Centraal Station: 6, Tram Leidseplein: 6, Tram Rembrandtplein: 5, tram 4, 9, 16 or 24 to Spui: 5"
phone,": 167, +31 20 519-1200: 2, +31 20 523-1822: 2, +31 20 702-6000: 1, +31 20 670-8531: 1, +31 20 624-5509: 1, +31 20 625-3845: 1, +31 20 354-1781: 1, +31 20 625-5029: 1, +31 20 620-3215: 1"
tollFree,: 408
email,": 372, info@hotelnicolaaswitsen.nl: 2, bookamsterdam@pphe.com: 2, info@orange-bike.nl: 1, info@olvkerk.nl: 1, info@omaietje.nl: 1, info@pipemuseum.nl: 1, info@amsterdamjewelcruises.com: 1, info@asteriskhotel.nl: 1, zeeburg@stayokay.com: 1"
fax,": 396, +31 20 627 64 93: 1, +31 20 638 2790: 1, +31 20 620 51 13: 1, +31 20 519 1239: 1, +31 20 639-1035: 1, +31 20 420-1299: 1, +31 20 625-2997: 1, +31 20 520-8200: 1, +31 20 589 8955: 1"
url,": 103, http://www.amsterdamjewelcruises.com: 2, http://www.nicolaas-parochie.nl: 2, http://www.maloemelo.com/: 2, http://hoteldeparisamsterdam.nl/: 2, http://www.blijburg.nl: 2, http://www.bastionhotels.nl/en: 2, http://www.shelter.nl: 2, http://www.iamsterdam.com/en: 1, https://www.iamsterdam.com/en/i-am/i-amsterdam-city-card: 1"
hours,": 294, 10:00-01:00 daily: 3, 09:00-18:00 daily: 2, Tu-Su 10:00-17:00: 2, M-Sa 09:00-17:00: 2, 09:00-17:00 daily: 2, 09:00-22:00 daily: 2, 09:00-01:00 daily: 2, M-Su 09:00-18:00: 1, M-F 08:00-20:00, Sa Su 09:00-19:00: 1"
checkIn,": 388, 14:00: 12, 15:00: 2, 4 pm: 1, 07:30, rooms available at 14:00: 1, 15:00 - 23:00 hours: 1, early check-in begins at 7:30AM, rooms available at 2PM: 1, 14.00: 1, flexible: 1"
checkOut,": 388, 11:00: 9, 10:00: 3, 12:00: 2, 12 pm: 1, 10:30: 1, Until 11:00: 1, 10:30AM: 1, 11.00: 1, 10.30. Free luggage store: 1"
image,": 395, Amsterdam %286578785683%29.jpg: 1, Beurs van Berlage, Amsterdam, 20.05.2011.jpg: 1, Amsterdam, paleis op de Dam 2007-03-26 11.32 .JPG: 1, Amsterdam %286578776785%29.jpg: 1, Begijnhof (Amsterdam) P1020929.JPG: 1, EsnogaAmsterdam.jpg: 1, Amsterdam Nieuwe Kerk Koorhek.jpg: 1, Amsterdam Oude Kerk 2008.jpg: 1, Amsterdam - Zuiderkerk and Raamgracht.JPG: 1"
price,": 270, Free: 4, €9: 4, €5: 3, €12.50: 3, €15-20: 3, €12: 2, 7€: 2, €11.50: 2, €7: 2"
latitude,": 146, 52.36796: 2, 52.37237: 2, 52.36881: 2, 52.37477: 2, 52.37751: 1, 52.312732: 1, 52.309048: 1, 52.3128948: 1, 52.306396: 1"
longitude,": 146, 4.89902: 2, 4.89308: 2, 4.89611: 2, 4.87979: 2, 4.89732: 2, 4.90080: 2, 4.89616: 2, 4.900364: 1, 4.949238: 1"
wifi,: 408
accessibility,: 408
lastEdit,": 383, 2015-03-23: 4, 2016-06-14: 3, 2016-06-12: 3, 2016-06-16: 2, 2016-07-27: 2, 2016-07-30: 2, 2016-07-31: 2, 2016-09-29: 1, 2016-01-06: 1"
description,": 29, Boutique.: 5, For kids's clothing.: 3, Amsterdam's tourist office is opposite Centraal Station in the same building as Smits Koffiehuis. Besides maps, brochures and bookings, you can also buy tram and metro tickets at the GVB office. There are some touch screens with general information about visiting Amsterdam.: 1, This card allows admittance to a selection of the city's museums and attractions an ''no extra cost'', plus unlimited travel across the city's on public transport, plus a list of discounts at some other attractions.: 1, The largest international affiliation of international bus services is Eurolines, which has a terminal at Duivendrecht railway station, which is connected by train and by metros 50 and 54.: 1, British low-budget bus company Megabus operates a bus service twice-daily from London and Paris to Amsterdam via Brussels, terminating at the PR Transferium Zeeburg in the east of the city. Tram 26 connects it with Amsterdam Centraal.: 1, German low-cost bus company offering connections to many German cities such as Berlin, Cologne and Munich. Departing from Sloterdijk station. Reachable by Bus 22, trains and metro line 50.: 1, The bus-operating arm of the French railway company ''SNCF'', which runs a coach service between Paris and Lille to Amsterdam. It stops at the Stadionplein. Tram 16 and 24 connect it with Amsterdam Centraal and metro station Amstelveenseweg.: 1, Multi-day cards are valid for an exact amount of hours available in the respective period of days.: 1"
